"date","discharge","new_sedyield","new_sedyield.Kg.day","numDays","new_sedyield.Kg.total"
"1969-04-01",1.64,0.0455929772965053,3939.23323841806,30,118176.997152542
"1969-05-01",3.945,0.112415045590074,9712.65993898238,31,301092.458108454
"1969-06-01",3.621,0.102934034234435,8893.50055785521,30,266805.016735656
"1969-07-01",0.827,0.0225525379525158,1948.53927909736,31,60404.7176520183
"1969-08-01",4.186,0.119481611881942,10323.2112665998,31,320019.549264594
"1969-09-01",2.073,0.0580117291288535,5012.21339673294,30,150366.401901988
"1969-10-01",5.956,0.17169784118056,14834.6934780004,31,459875.497818011
"1969-11-01",5.433,0.156216546792599,13497.1096428805,30,404913.289286416
"1969-12-01",2.468,0.0694052641026099,5996.6148184655,31,185895.05937243
"1970-01-01",0.651,0.0176338637919015,1523.56583162029,31,47230.5407802291
